entry,mem_size,pag_size,alg,reads,writes
logs/compilador.log,128,4,fifo,1511,1056
logs/compilador.log,256,4,fifo,1698,1253
logs/compilador.log,512,4,fifo,1267,964
logs/compilador.log,1024,4,fifo,1519,1169
logs/compilador.log,2048,4,fifo,734,167
logs/compilador.log,4096,4,fifo,1108,36
logs/compilador.log,8192,4,fifo,698,0
logs/compilador.log,16384,4,fifo,855,0
logs/compressor.log,128,4,fifo,347,32
logs/compressor.log,256,4,fifo,299,27
logs/compressor.log,512,4,fifo,465,29
logs/compressor.log,1024,4,fifo,602,26
logs/compressor.log,2048,4,fifo,592,8
logs/compressor.log,4096,4,fifo,427,0
logs/compressor.log,8192,4,fifo,427,0
logs/compressor.log,16384,4,fifo,592,0
logs/matriz.log,128,4,fifo,76120,14745
logs/matriz.log,256,4,fifo,22282,5173
logs/matriz.log,512,4,fifo,12367,3201
logs/matriz.log,1024,4,fifo,13895,3431
logs/matriz.log,2048,4,fifo,3705,1145
logs/matriz.log,4096,4,fifo,3238,943
logs/matriz.log,8192,4,fifo,3955,824
logs/matriz.log,16384,4,fifo,5663,584
logs/simulador.log,128,4,fifo,1284,1125
logs/simulador.log,256,4,fifo,1159,996
logs/simulador.log,512,4,fifo,1383,1156
logs/simulador.log,1024,4,fifo,2308,1927
logs/simulador.log,2048,4,fifo,1743,1123
logs/simulador.log,4096,4,fifo,1738,593
logs/simulador.log,8192,4,fifo,1667,0
logs/simulador.log,16384,4,fifo,932,0
logs/compilador.log,128,4,lru,1786,1278
logs/compilador.log,256,4,lru,2053,1569
logs/compilador.log,512,4,lru,1230,940
logs/compilador.log,1024,4,lru,968,654
logs/compilador.log,2048,4,lru,899,328
logs/compilador.log,4096,4,lru,855,0
logs/compilador.log,8192,4,lru,1108,0
logs/compilador.log,16384,4,lru,1443,0
logs/compressor.log,128,4,lru,420,38
logs/compressor.log,256,4,lru,497,38
logs/compressor.log,512,4,lru,638,39
logs/compressor.log,1024,4,lru,249,0
logs/compressor.log,2048,4,lru,320,0
logs/compressor.log,4096,4,lru,427,0
logs/compressor.log,8192,4,lru,249,0
logs/compressor.log,16384,4,lru,427,0
logs/matriz.log,128,4,lru,34607,6540
logs/matriz.log,256,4,lru,15758,3813
logs/matriz.log,512,4,lru,17333,4093
logs/matriz.log,1024,4,lru,6142,1802
logs/matriz.log,2048,4,lru,2894,848
logs/matriz.log,4096,4,lru,2740,743
logs/matriz.log,8192,4,lru,2134,41
logs/matriz.log,16384,4,lru,2589,0
logs/simulador.log,128,4,lru,2456,2251
logs/simulador.log,256,4,lru,1855,1673
logs/simulador.log,512,4,lru,1095,877
logs/simulador.log,1024,4,lru,2290,1910
logs/simulador.log,2048,4,lru,772,173
logs/simulador.log,4096,4,lru,1770,625
logs/simulador.log,8192,4,lru,1667,0
logs/simulador.log,16384,4,lru,1667,0
logs/compilador.log,128,4,newalg,1957,1383
logs/compilador.log,256,4,newalg,2170,1618
logs/compilador.log,512,4,newalg,1309,964
logs/compilador.log,1024,4,newalg,1939,1446
logs/compilador.log,2048,4,newalg,728,181
logs/compilador.log,4096,4,newalg,855,0
logs/compilador.log,8192,4,newalg,698,0
logs/compilador.log,16384,4,newalg,698,0
logs/compressor.log,128,4,newalg,471,36
logs/compressor.log,256,4,newalg,711,47
logs/compressor.log,512,4,newalg,661,43
logs/compressor.log,1024,4,newalg,249,0
logs/compressor.log,2048,4,newalg,320,0
logs/compressor.log,4096,4,newalg,427,0
logs/compressor.log,8192,4,newalg,592,0
logs/compressor.log,16384,4,newalg,249,0
logs/matriz.log,128,4,newalg,57498,12027
logs/matriz.log,256,4,newalg,37881,7532
logs/matriz.log,512,4,newalg,16799,3923
logs/matriz.log,1024,4,newalg,7163,2094
logs/matriz.log,2048,4,newalg,3928,1200
logs/matriz.log,4096,4,newalg,9253,2599
logs/matriz.log,8192,4,newalg,6725,1788
logs/matriz.log,16384,4,newalg,2589,0
logs/simulador.log,128,4,newalg,2146,1915
logs/simulador.log,256,4,newalg,1560,1362
logs/simulador.log,512,4,newalg,1439,1203
logs/simulador.log,1024,4,newalg,1775,1403
logs/simulador.log,2048,4,newalg,823,272
logs/simulador.log,4096,4,newalg,1258,208
logs/simulador.log,8192,4,newalg,1667,0
logs/simulador.log,16384,4,newalg,1667,0
